setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,55 a 59,2,1,0
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,30 a 34,3,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,50 a 54,3,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,20 a 24,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,3,2,2
28,2022,11/07/2022,17/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 74,4,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,3,2
28,2022,11/07/2022,17/07/2022,61,LLEIDA,6100,LLEIDA,Home,3 i 4,4,2,2
29,2022,18/07/2022,24/07/2022,64,GIRONA,6400,GIRONA,Dona,45 a 49,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,10 a 14,3,2,2
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,3 i 4,3,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,30 a 34,4,1,0
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,25 a 29,3,1,0
20,2023,15/05/2023,21/05/2023,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,55 a 59,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 74,2,2,2
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,35 a 39,4,1,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,50 a 54,4,1,1
5,2023,30/01/2023,05/02/2023,00,No disponible,0000,No disponible,No disponible,No disponible,-1,3,3
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,40 a 44,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,0,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,75 a 79,4,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,1 i 2,3,4,3
35,2022,29/08/2022,04/09/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,2,2
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,5 a 9,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,25 a 29,3,2,1
19,2022,09/05/2022,15/05/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 74,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,5 a 9,3,3,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,25 a 29,3,2,0
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,3 i 4,4,1,1
19,2023,08/05/2023,14/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,1 i 2,4,1,1
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,55 a 59,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,15 a 19,3,1,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Dona,0,3,1,1
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,3,2
3,2023,16/01/2023,22/01/2023,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 49,4,1,0
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Dona,3 i 4,3,1,1
26,2022,27/06/2022,03/07/2022,61,LLEIDA,6100,LLEIDA,Dona,1 i 2,4,1,1
19,2022,09/05/2022,15/05/2022,64,GIRONA,6400,GIRONA,Dona,20 a 24,3,3,3
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,60 a 64,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,20 a 24,3,3,0
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,35 a 39,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,20 a 24,4,1,0
6,2023,06/02/2023,12/02/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,40 a 44,3,3,3
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,55 a 59,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,55 a 59,4,2,2
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,65 a 69,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,15 a 19,3,2,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,30 a 34,3,2,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,75 a 79,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,35 a 39,2,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,15 a 19,4,2,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,45 a 49,2,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,3 i 4,4,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,60 a 64,4,1,0
26,2022,27/06/2022,03/07/2022,61,LLEIDA,6100,LLEIDA,Home,0,4,1,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Home,1 i 2,4,2,2
5,2023,30/01/2023,05/02/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,3,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,25 a 29,3,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,3 i 4,3,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Home,15 a 19,4,1,0
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Home,0,3,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,0,4,1,1
26,2022,27/06/2022,03/07/2022,61,LLEIDA,6100,LLEIDA,Home,3 i 4,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 49,3,3,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 49,3,1,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Home,3 i 4,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,50 a 54,4,2,2
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,0,3,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,3 i 4,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,50 a 54,3,1,1
3,2023,16/01/2023,22/01/2023,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,65 a 69,2,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,1,1
